utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651761155,-29,4,26,1.5
1651761157,-27,6,21,-2.5
1651761159,-24,6,15,-3.0
1651761161,-27,6,21,3.0
1651761163,-23,6,13,-4.0
1651761165,-28,6,23,5.0
1651761167,-31,4,33,5.0
1651761169,-28,6,23,-5.0
1651761171,-28,6,23,0.0
1651761173,-28,6,23,0.0
1651761175,-28,6,23,0.0
1651761177,-26,6,18,-2.5
1651761179,-26,6,18,0.0
1651761181,-30,6,29,5.5
1651761183,-26,2,18,-5.5
1651761185,-25,2,16,-1.0
1651761187,-27,6,21,2.5
1651761189,-25,6,16,-2.5
1651761191,-29,6,26,5.0
1651761193,-25,6,16,-5.0
1651761195,-25,6,16,0.0
1651761197,-27,6,21,2.5
1651761199,-27,6,21,0.0
1651761201,-29,6,26,2.5
1651761203,-27,6,21,-2.5
1651761205,-27,6,21,0.0
1651761207,-25,6,16,-2.5
1651761209,-27,6,21,2.5
1651761211,-28,6,23,1.0
1651761213,-27,6,21,-1.0
1651761215,-29,6,26,2.5
1651761217,-25,6,16,-5.0
1651761219,-29,6,26,5.0
1651761221,-27,4,21,-2.5
1651761223,-29,6,26,2.5
1651761225,-25,4,16,-5.0
1651761227,-26,6,18,1.0
1651761229,-26,6,18,0.0
1651761231,-28,6,23,2.5
1651761233,-26,6,18,-2.5
1651761235,-24,6,15,-1.5
1651761237,-27,6,21,3.0
1651761239,-26,2,18,-1.5
1651761241,-26,4,18,0.0
1651761243,-29,6,26,4.0
1651761245,-24,6,15,-5.5
1651761295,-31,6,33,0.4
1651761297,-27,6,21,-6.0
1651761299,-28,6,23,1.0
1651761301,-29,6,26,1.5
1651761303,-29,6,26,0.0
1651761305,-28,6,23,-1.5
1651761307,-28,4,23,0.0
1651761309,-27,4,21,-1.0
1651761311,-29,4,26,2.5
1651761313,-28,6,23,-1.5
1651761315,-28,6,23,0.0
1651761317,-28,6,23,0.0
1651761319,-27,6,21,-1.0
1651761321,-25,6,16,-2.5
1651761323,-29,6,26,5.0
1651761325,-27,6,21,-2.5
1651761327,-28,6,23,1.0
1651761330,-26,6,18,-1.7
1651761332,-30,6,29,5.5
1651761334,-27,6,21,-4.0
1651761336,-29,6,26,2.5
1651761338,-30,6,29,1.5
1651761340,-27,6,21,-4.0
1651761342,-29,6,26,2.5
1651761344,-29,6,26,0.0
1651761346,-29,6,26,0.0
1651761348,-28,6,23,-1.5
1651761350,-28,6,23,0.0
1651761352,-30,6,29,3.0
1651761354,-29,4,26,-1.5
1651761356,-32,6,37,5.5
1651761358,-30,6,29,-4.0
1651761360,-30,4,29,0.0
1651761362,-27,6,21,-4.0
1651761364,-30,6,29,4.0
1651761366,-27,6,21,-4.0
1651761368,-27,6,21,0.0
1651761370,-27,6,21,0.0
1651761372,-28,6,23,1.0
1651761374,-27,6,21,-1.0
1651761376,-31,6,33,6.0
1651761378,-28,6,23,-5.0
1651761380,-28,6,23,0.0
1651761382,-28,6,23,0.0
1651761384,-32,4,37,7.0
1651761386,-32,4,37,0.0
1651761388,-30,6,29,-4.0
1651761390,-29,6,26,-1.5
1651761392,-29,6,26,0.0
1651761394,-31,6,33,3.5
1651761396,-26,6,18,-7.5
1651761398,-26,6,18,0.0
1651761400,-35,6,52,17.0
1651761402,-30,6,29,-11.5
1651761404,-27,6,21,-4.0
1651761406,-29,6,26,2.5
1651761408,-30,6,29,1.5
1651761410,-34,6,46,8.5
1651761412,-27,6,21,-12.5
1651761414,-28,6,23,1.0
1651761416,-28,6,23,0.0
1651761418,-31,6,33,5.0
1651761420,-30,6,29,-2.0
1651761422,-34,6,46,8.5
1651761424,-29,4,26,-10.0
1651761426,-27,4,21,-2.5
1651761428,-29,4,26,2.5
1651761430,-26,4,18,-4.0
1651761432,-26,6,18,0.0
1651761434,-29,6,26,4.0
1651761436,-30,6,29,1.5
1651761438,-25,4,16,-6.5
1651761440,-29,6,26,5.0
1651761442,-28,6,23,-1.5
1651761444,-29,6,26,1.5
1651761446,-31,6,33,3.5
1651761448,-26,6,18,-7.5
1651761450,-28,6,23,2.5
1651761452,-27,4,21,-1.0
1651761454,-30,6,29,4.0
1651761456,-26,6,18,-5.5
1651761458,-29,6,26,4.0
1651761460,-27,6,21,-2.5
1651761462,-26,6,18,-1.5
1651761464,-28,6,23,2.5
1651761466,-33,6,41,9.0
1651761468,-29,6,26,-7.5
1651761470,-29,6,26,0.0
1651761472,-28,4,23,-1.5
1651761474,-26,6,18,-2.5
1651761476,-29,6,26,4.0
1651761478,-22,4,12,-7.0
1651761480,-31,6,33,10.5
1651761482,-29,6,26,-3.5
1651761484,-28,6,23,-1.5
1651761486,-29,6,26,1.5
1651761488,-28,6,23,-1.5
1651761490,-28,6,23,0.0
1651761492,-29,6,26,1.5
1651761494,-29,6,26,0.0
1651761496,-27,6,21,-2.5
1651761498,-27,6,21,0.0
1651761500,-24,6,15,-3.0
1651761502,-28,6,23,4.0
1651761504,-28,6,23,0.0
1651761506,-26,6,18,-2.5
1651761508,-27,6,21,1.5
1651761510,-29,6,26,2.5
1651761512,-29,6,26,0.0
1651761514,-28,6,23,-1.5
1651761516,-30,6,29,3.0
1651761518,-32,6,37,4.0
1651761520,-31,6,33,-2.0
1651761522,-26,6,18,-7.5
1651761524,-27,6,21,1.5
1651761526,-28,6,23,1.0
1651761528,-27,6,21,-1.0
1651761530,-28,6,23,1.0
1651761532,-25,6,16,-3.5
1651761534,-19,6,8,-4.0
1651761536,-33,6,41,16.5
1651761538,-28,6,23,-9.0
1651761540,-29,6,26,1.5
1651761542,-35,6,52,13.0
1651761544,-29,6,26,-13.0
1651761546,-28,6,23,-1.5
1651761548,-30,6,29,3.0
1651761550,-28,6,23,-3.0
1651761552,-30,6,29,3.0
1651761554,-30,6,29,0.0
1651761556,-28,6,23,-3.0
1651761558,-29,6,26,1.5
1651761560,-27,6,21,-2.5
1651761562,-28,6,23,1.0
1651761564,-28,6,23,0.0
1651761566,-28,6,23,0.0
1651761568,-29,6,26,1.5
1651761570,-28,6,23,-1.5
1651761572,-28,6,23,0.0
1651761574,-28,6,23,0.0
1651761576,-23,6,13,-5.0
1651761578,-28,6,23,5.0
1651761580,-28,6,23,0.0
1651761582,-29,6,26,1.5
1651761584,-27,6,21,-2.5
1651761586,-29,6,26,2.5
1651761588,-28,6,23,-1.5
1651761590,-28,4,23,0.0
1651761592,-29,6,26,1.5
1651761594,-28,6,23,-1.5
1651761596,-27,6,21,-1.0
1651761598,-27,6,21,0.0
1651761600,-26,6,18,-1.5
1651761602,-29,4,26,4.0
1651761604,-29,6,26,0.0
1651761606,-29,6,26,0.0
1651761608,-29,6,26,0.0
1651761610,-29,6,26,0.0
1651761612,-27,6,21,-2.5
1651761614,-29,6,26,2.5
1651761616,-28,6,23,-1.5
1651761618,-28,6,23,0.0
1651761620,-30,6,29,3.0
1651761622,-28,6,23,-3.0
1651761624,-28,6,23,0.0
1651761626,-28,6,23,0.0
1651761628,-30,6,29,3.0
1651761630,-29,4,26,-1.5
